"Názov","Počet volebných okrskov","Počet potvrdených okrskových zápisníc","Podiel potvrdených okrskových zápisníc v %","Počet zapísaných voličov","Počet zúčastnených voličov","Účasť voličov v %","Počet odovzdaných obálok","Podiel odovzdaných obálok v %","Počet platných hlasov pre všetkých kandidátov","Podiel platných hlasov pre všetkých kandidátov v %"
"mestá a mestské časti",2532,2532,100.00,2316989,1446219,62.41,1445355,99.94,1436213,99.30
"obce",3406,3406,100.00,2051708,1225060,59.70,1224842,99.98,1216751,99.32
