"Poradie na hlasovacom lístku","Meno","Priezvisko","Počet platných hlasov","Podiel platných hlasov v %","Počet platných hlasov v mestách a mestských častiach","Podiel platných hlasov v mestách a mestských častiach v %","Počet platných hlasov v obciach","Podiel platných hlasov v obciach v %","Kandidát"
1,"Ivan","Korčok",1243709,46.87,755716,52.61,487993,40.10,
2,"Peter","Pellegrini",1409255,53.12,680497,47.38,728758,59.89,"zvolený"
