"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Kód okresu","Názov okresu","Poradie na hlasovacom lístku","Meno","Priezvisko","Počet platných hlasov","Podiel platných hlasov v %","Počet platných hlasov v mestách a mestských častiach","Podiel platných hlasov v mestách a mestských častiach v %","Počet platných hlasov v obciach","Podiel platných hlasov v obciach v %"
3,"Trenčiansky kraj",305,"Trenčín",302,"Ilava",2,"Peter","Pellegrini",19774,62.09,12632,59.90,7142,66.38
3,"Trenčiansky kraj",305,"Trenčín",309,"Trenčín",1,"Ivan","Korčok",32391,49.91,20408,55.24,11983,42.86
3,"Trenčiansky kraj",305,"Trenčín",309,"Trenčín",2,"Peter","Pellegrini",32505,50.08,16534,44.75,15971,57.13
4,"Nitriansky kraj",401,"Komárno",401,"Komárno",1,"Ivan","Korčok",11765,36.61,7901,42.37,3864,28.64
4,"Nitriansky kraj",401,"Komárno",401,"Komárno",2,"Peter","Pellegrini",20371,63.38,10746,57.62,9625,71.35
4,"Nitriansky kraj",402,"Levice",402,"Levice",1,"Ivan","Korčok",20790,42.23,10980,48.94,9810,36.62
4,"Nitriansky kraj",402,"Levice",402,"Levice",2,"Peter","Pellegrini",28431,57.76,11454,51.05,16977,63.37
4,"Nitriansky kraj",403,"Nitra",403,"Nitra",1,"Ivan","Korčok",41256,46.45,23742,50.79,17514,41.64
4,"Nitriansky kraj",403,"Nitra",403,"Nitra",2,"Peter","Pellegrini",47544,53.54,23001,49.20,24543,58.35
4,"Nitriansky kraj",403,"Nitra",407,"Zlaté Moravce",1,"Ivan","Korčok",7917,35.26,2358,38.96,5559,33.90
4,"Nitriansky kraj",403,"Nitra",407,"Zlaté Moravce",2,"Peter","Pellegrini",14530,64.73,3694,61.03,10836,66.09
4,"Nitriansky kraj",404,"Nové Zámky",404,"Nové Zámky",1,"Ivan","Korčok",24532,40.26,12551,47.77,11981,34.57
4,"Nitriansky kraj",404,"Nové Zámky",404,"Nové Zámky",2,"Peter","Pellegrini",36393,59.73,13719,52.22,22674,65.42
4,"Nitriansky kraj",405,"Šaľa",405,"Šaľa",1,"Ivan","Korčok",10393,47.40,5627,55.57,4766,40.38
4,"Nitriansky kraj",405,"Šaľa",405,"Šaľa",2,"Peter","Pellegrini",11533,52.59,4498,44.42,7035,59.61
4,"Nitriansky kraj",406,"Topoľčany",406,"Topoľčany",1,"Ivan","Korčok",12854,33.44,4940,38.12,7914,31.06
4,"Nitriansky kraj",406,"Topoľčany",406,"Topoľčany",2,"Peter","Pellegrini",25576,66.55,8017,61.87,17559,68.93
5,"Žilinský kraj",501,"Čadca",502,"Čadca",1,"Ivan","Korčok",13596,29.78,5826,31.71,7770,28.48
5,"Žilinský kraj",501,"Čadca",502,"Čadca",2,"Peter","Pellegrini",32046,70.21,12542,68.28,19504,71.51
5,"Žilinský kraj",502,"Dolný Kubín",503,"Dolný Kubín",1,"Ivan","Korčok",11021,54.25,5075,55.57,5946,53.17
5,"Žilinský kraj",502,"Dolný Kubín",503,"Dolný Kubín",2,"Peter","Pellegrini",9292,45.74,4057,44.42,5235,46.82
5,"Žilinský kraj",503,"Liptovský Mikuláš",505,"Liptovský Mikuláš",1,"Ivan","Korčok",17975,45.75,9541,48.28,8434,43.19
5,"Žilinský kraj",503,"Liptovský Mikuláš",505,"Liptovský Mikuláš",2,"Peter","Pellegrini",21310,54.24,10220,51.71,11090,56.80
5,"Žilinský kraj",504,"Martin",506,"Martin",1,"Ivan","Korčok",23737,46.07,16279,48.30,7458,41.84
5,"Žilinský kraj",504,"Martin",506,"Martin",2,"Peter","Pellegrini",27785,53.92,17421,51.69,10364,58.15
5,"Žilinský kraj",504,"Martin",509,"Turčianske Teplice",1,"Ivan","Korčok",3247,36.09,1429,39.73,1818,33.66
5,"Žilinský kraj",504,"Martin",509,"Turčianske Teplice",2,"Peter","Pellegrini",5749,63.90,2167,60.26,3582,66.33
5,"Žilinský kraj",505,"Námestovo",507,"Námestovo",1,"Ivan","Korčok",13623,47.11,1835,50.05,11788,46.69
5,"Žilinský kraj",505,"Námestovo",507,"Námestovo",2,"Peter","Pellegrini",15289,52.88,1831,49.94,13458,53.30
5,"Žilinský kraj",505,"Námestovo",510,"Tvrdošín",1,"Ivan","Korčok",8541,46.61,3542,44.74,4999,48.04
5,"Žilinský kraj",505,"Námestovo",510,"Tvrdošín",2,"Peter","Pellegrini",9780,53.38,4374,55.25,5406,51.95
5,"Žilinský kraj",506,"Ružomberok",508,"Ružomberok",1,"Ivan","Korčok",14816,49.31,7106,51.76,7710,47.25
