"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Kód okresu","Názov okresu","Počet volebných okrskov","Počet potvrdených okrskových zápisníc","Podiel potvrdených okrskových zápisníc v %","Počet zapísaných voličov","Počet zúčastnených voličov","Účasť voličov v %","Počet odovzdaných obálok","Podiel odovzdaných obálok v %","Počet platných hlasov pre všetkých kandidátov","Podiel platných hlasov pre všetkých kandidátov v %"
6,"Banskobystrický kraj",604,"Rimavská Sobota",608,"Revúca",66,66,100.00,29762,13010,43.71,13009,99.99,12931,99.39
6,"Banskobystrický kraj",604,"Rimavská Sobota",609,"Rimavská Sobota",151,151,100.00,61958,26673,43.05,26666,99.97,26499,99.34
6,"Banskobystrický kraj",605,"Veľký Krtíš",610,"Veľký Krtíš",83,83,100.00,33394,17044,51.03,17042,99.98,16948,99.43
6,"Banskobystrický kraj",606,"Zvolen",604,"Detva",44,44,100.00,25617,16885,65.91,16885,100.00,16775,99.34
6,"Banskobystrický kraj",606,"Zvolen",605,"Krupina",46,46,100.00,17727,10993,62.01,10993,100.00,10912,99.26
6,"Banskobystrický kraj",606,"Zvolen",611,"Zvolen",75,75,100.00,53617,34751,64.81,34746,99.98,34506,99.29
6,"Banskobystrický kraj",607,"Žiar nad Hronom",602,"Banská Štiavnica",23,23,100.00,13168,8490,64.47,8490,100.00,8426,99.24
6,"Banskobystrický kraj",607,"Žiar nad Hronom",612,"Žarnovica",35,35,100.00,20613,13361,64.81,13360,99.99,13284,99.42
6,"Banskobystrický kraj",607,"Žiar nad Hronom",613,"Žiar nad Hronom",56,56,100.00,36191,23039,63.65,23034,99.97,22885,99.33
7,"Prešovský kraj",701,"Bardejov",701,"Bardejov",116,116,100.00,58830,35165,59.77,35163,99.99,34969,99.44
7,"Prešovský kraj",702,"Humenné",702,"Humenné",87,87,100.00,47719,27575,57.78,27570,99.98,27383,99.30
7,"Prešovský kraj",702,"Humenné",705,"Medzilaborce",30,30,100.00,8810,4876,55.34,4875,99.97,4840,99.26
7,"Prešovský kraj",702,"Humenné",709,"Snina",48,48,100.00,27879,15507,55.62,15483,99.84,15409,99.36
7,"Prešovský kraj",703,"Kežmarok",703,"Kežmarok",67,67,100.00,53490,26375,49.30,26374,99.99,26160,99.18
7,"Prešovský kraj",704,"Poprad",704,"Levoča",47,47,100.00,25648,13989,54.54,13989,100.00,13889,99.28
7,"Prešovský kraj",704,"Poprad",706,"Poprad",92,92,100.00,81884,48690,59.46,48680,99.97,48390,99.38
7,"Prešovský kraj",705,"Prešov",707,"Prešov",169,169,100.00,133501,82014,61.43,81982,99.96,81450,99.31
7,"Prešovský kraj",705,"Prešov",708,"Sabinov",63,63,100.00,44249,24322,54.96,24321,99.99,24158,99.32
7,"Prešovský kraj",706,"Stará Ľubovňa",710,"Stará Ľubovňa",62,62,100.00,39647,22156,55.88,22151,99.97,21988,99.24
7,"Prešovský kraj",707,"Stropkov",711,"Stropkov",52,52,100.00,15617,9117,58.37,9116,99.98,9063,99.40
