"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Poradie na hlasovacom lístku","Meno","Priezvisko","Počet platných hlasov","Podiel platných hlasov v %","Počet platných hlasov v mestách a mestských častiach","Podiel platných hlasov v mestách a mestských častiach v %","Počet platných hlasov v obciach","Podiel platných hlasov v obciach v %"
5,"Žilinský kraj",507,"Žilina",2,"Peter","Pellegrini",70133,55.90,32223,50.06,37910,62.06
6,"Banskobystrický kraj",601,"Banská Bystrica",1,"Ivan","Korčok",29578,49.41,21496,52.94,8082,41.96
6,"Banskobystrický kraj",601,"Banská Bystrica",2,"Peter","Pellegrini",30280,50.58,19103,47.05,11177,58.03
6,"Banskobystrický kraj",602,"Brezno",1,"Ivan","Korčok",9680,34.16,3781,40.58,5899,31.01
6,"Banskobystrický kraj",602,"Brezno",2,"Peter","Pellegrini",18654,65.83,5535,59.41,13119,68.98
6,"Banskobystrický kraj",603,"Lučenec",1,"Ivan","Korčok",12571,34.49,6587,41.39,5984,29.14
6,"Banskobystrický kraj",603,"Lučenec",2,"Peter","Pellegrini",23874,65.50,9326,58.60,14548,70.85
6,"Banskobystrický kraj",604,"Rimavská Sobota",1,"Ivan","Korčok",11596,29.40,7083,36.30,4513,22.65
6,"Banskobystrický kraj",604,"Rimavská Sobota",2,"Peter","Pellegrini",27834,70.59,12425,63.69,15409,77.34
6,"Banskobystrický kraj",605,"Veľký Krtíš",1,"Ivan","Korčok",5302,31.28,1833,36.88,3469,28.96
6,"Banskobystrický kraj",605,"Veľký Krtíš",2,"Peter","Pellegrini",11646,68.71,3137,63.11,8509,71.03
6,"Banskobystrický kraj",606,"Zvolen",1,"Ivan","Korčok",25431,40.89,16569,42.97,8862,37.48
6,"Banskobystrický kraj",606,"Zvolen",2,"Peter","Pellegrini",36762,59.10,21985,57.02,14777,62.51
6,"Banskobystrický kraj",607,"Žiar nad Hronom",1,"Ivan","Korčok",18047,40.46,9762,44.23,8285,36.77
6,"Banskobystrický kraj",607,"Žiar nad Hronom",2,"Peter","Pellegrini",26548,59.53,12307,55.76,14241,63.22
7,"Prešovský kraj",701,"Bardejov",1,"Ivan","Korčok",14766,42.22,7003,48.29,7763,37.92
7,"Prešovský kraj",701,"Bardejov",2,"Peter","Pellegrini",20203,57.77,7498,51.70,12705,62.07
7,"Prešovský kraj",702,"Humenné",1,"Ivan","Korčok",14360,30.14,7937,33.97,6423,26.46
7,"Prešovský kraj",702,"Humenné",2,"Peter","Pellegrini",33272,69.85,15421,66.02,17851,73.53
7,"Prešovský kraj",703,"Kežmarok",1,"Ivan","Korčok",12507,47.80,5666,51.54,6841,45.10
7,"Prešovský kraj",703,"Kežmarok",2,"Peter","Pellegrini",13653,52.19,5326,48.45,8327,54.89
7,"Prešovský kraj",704,"Poprad",1,"Ivan","Korčok",31207,50.10,19702,52.31,11505,46.73
7,"Prešovský kraj",704,"Poprad",2,"Peter","Pellegrini",31072,49.89,17959,47.68,13113,53.26
