"Poradie na hlasovacom lístku","Meno","Priezvisko","Titul","Vek","Zamestnanie","Obec"
1,"Ivan","Korčok","Ing.",60,"zahraničnopolitický poradca","Bratislava"
2,"Peter","Pellegrini","Ing.",48,"poslanec parlamentu","Banská Bystrica"
