"Kód kraja","Názov kraja","Počet volebných okrskov","Počet potvrdených okrskových zápisníc","Podiel potvrdených okrskových zápisníc v %","Počet zapísaných voličov","Počet zúčastnených voličov","Účasť voličov v %","Počet odovzdaných obálok","Podiel odovzdaných obálok v %","Počet platných hlasov pre všetkých kandidátov","Podiel platných hlasov pre všetkých kandidátov v %"
1,"Bratislavský kraj",536,536,100.00,591624,419667,70.93,419514,99.96,417191,99.41
2,"Trnavský kraj",528,528,100.00,469692,281152,59.85,281069,99.97,279074,99.26
3,"Trenčiansky kraj",644,644,100.00,470086,318269,67.70,318025,99.92,315703,99.19
4,"Nitriansky kraj",743,743,100.00,551487,315935,57.28,315883,99.98,313885,99.35
5,"Žilinský kraj",715,715,100.00,553227,371244,67.10,370888,99.90,368478,99.25
6,"Banskobystrický kraj",908,908,100.00,499958,289607,57.92,289557,99.98,287803,99.37
7,"Prešovský kraj",1004,1004,100.00,622564,356449,57.25,356354,99.97,354017,99.31
8,"Košický kraj",860,860,100.00,610059,318956,52.28,318907,99.98,316813,99.32
